dwa_id,dwa_title,susceptibility,exposure,anchoring,stakes,deployment_gap,verdict,confidence,n_occupations,n_tasks,rationale
4.A.3.b.6.k.5,Maintain medical records.,71.9,68.5,24.6,60.0,3.5,augmentable,medium,1,1,"Most maintenance operations are database transactions machines handle well; the constraint is regulated accountability for completeness, amendment and disclosure of the legal medical record."
4.A.3.b.6.n.4,Maintain regulatory or compliance documentation.,71.9,75.0,31.1,65.5,27.5,augmentable,medium,1,2,"Document control, versioning and retention are classic workflow-automation targets, but deciding what satisfies an inspector or auditor and certifying the record remains a named compliance officer's duty."
4.A.2.b.2.u.2,Develop mathematical models of environmental conditions.,71.8,80.0,36.5,55.0,45.0,augmentable,medium,6,8,"Model fitting, calibration and code generation are heavily tooled and partly automated already; the residual human role is choosing structural assumptions and defending predictions used in regulation or risk decisions."
4.A.3.b.6.i.7,Document design or operational test results.,71.8,68.5,24.8,44.2,25.0,augmentable,medium,13,15,"Test benches and instrumentation already auto-log data, and language models can draft the narrative and interpretation, but the binding constraint is authenticated engineering sign-off on what the results mean for a design's fitness."
4.A.2.a.4.l.1,Conduct quantitative failure analyses of operational data.,71.7,76.5,33.2,61.2,26.5,augmentable,medium,8,8,"Reliability statistics (Weibull fits, Pareto/root-cause ranking) are well-codified and scriptable, but linking statistical signal to true physical failure mechanisms needs engineering knowledge of the asset and carries safety accountability."
4.A.2.b.1.h.10,Estimate time requirements for development or production projects.,71.6,76.0,32.8,42.5,33.5,augmentable,medium,3,3,"Historical-data-driven schedule estimation is well suited to algorithms and already embedded in project tools, yet novel scope, dependency risk and organisational optimism require human calibration and commitment."
4.A.4.b.4.h.4,Prepare operational budgets.,71.6,77.5,34.4,52.5,40.0,augmentable,medium,3,3,Rolling forecasts and variance-driven budget builds are already semi-automated in FP&A software; the allocation choices and their defense before leadership remain a human responsibility.
4.A.2.a.1.h.1,Evaluate scholarly materials.,71.5,80.0,36.9,51.2,57.5,augmentable,medium,7,7,"Reading and critiquing scholarly text is squarely in an LLM's wheelhouse, but originality and significance judgements are contested and scholarly norms require a named, reputationally accountable reviewer."
4.A.2.b.2.o.11,Prepare maps.,71.4,62.5,19.6,30.0,7.5,augmentable,medium,7,11,"GIS pipelines already auto-generate styled cartography from spatial databases; the binding constraint is source-data validation and cartographic design choices for a particular audience, which still needs a human editor."
4.A.1.b.1.b.7,Identify sustainable business practices.,71.3,75.0,32.3,31.2,49.0,augmentable,medium,4,5,"Largely a research-and-synthesis task over standards, supply-chain data and best practice, which models do well; applicability to a specific operation and reporting credibility keep a human in charge."
4.A.4.b.3.d.6,Instruct staff in work policies or procedures.,71.3,72.5,29.9,34.2,26.0,augmentable,medium,1,1,"Policy and procedure content is fully codified text, so generation, delivery and comprehension checks are readily automated; what remains is answering edge-case questions and confirming that staff actually acknowledged and understood the rules."
4.A.1.a.1.t.6,"Research energy production, use, or conservation.",71.2,76.5,34.0,37.0,47.0,augmentable,medium,4,5,"Energy data are abundant and machine-readable, making modelling and literature review highly automatable; the sticking point is choosing scenario assumptions and reconciling field measurements with models."
4.A.1.b.1.b.5,Identify new applications for existing technologies.,71.2,75.0,32.5,27.5,55.0,augmentable,medium,3,4,"Analogical search across technology and market literature is a strong LLM capability, but validating commercial viability requires tacit domain knowledge and contested strategic judgment."
4.A.2.a.4.a.6,Analyze Geographic Information Systems (GIS) data for use in green applications.,71.2,67.5,25.0,32.5,20.0,augmentable,low,1,1,"Standard GIS overlay, suitability and siting analyses are scriptable and increasingly agent-driven; what resists is choosing weighting criteria and defending siting tradeoffs to stakeholders."
4.A.3.b.1.f.1,Load digital images onto computers or websites.,71.2,50.0,7.5,10.0,-37.5,largely_automatable,high,1,1,"Ingest, tag and publish pipelines with automated metadata and CMS APIs already do this end-to-end; only aesthetic selection or rights checking calls for a person."
4.A.2.b.5.c.2,Schedule patient procedures or appointments.,71.1,75.0,32.8,51.2,11.5,largely_automatable,medium,16,16,"Patient self-scheduling is widely deployed, but procedure booking involves clinical prerequisites, prep instructions and urgency triage where a misordered slot carries real patient harm, so oversight persists."
4.A.4.a.3.c.5,Provide customer service to clients or users.,71.1,77.5,35.2,30.0,25.0,augmentable,medium,4,4,"Tier-one service is being absorbed by deployed AI agents, but emotional escalation, goodwill concessions and exception handling still get handed to a human with authority to act."
4.A.3.b.6.h.9,"Maintain records, documents, or other files.",71.0,59.0,16.9,28.8,-4.5,largely_automatable,medium,2,2,Document management systems with automated classification and retention rules already handle this; physical paper files and scanning are the remaining manual residue.
4.A.1.b.3.b.4,Estimate operational costs.,70.9,73.5,31.6,50.0,36.0,augmentable,medium,18,22,"Operational cost modelling runs on structured historical data that software already aggregates well; what resists is the forward-looking assumption setting about utilisation, inflation and vendor behaviour."
4.A.2.a.4.a.7,"Analyze physical, survey, or geographic data.",70.8,67.5,25.9,38.8,17.5,augmentable,medium,8,8,"Survey adjustment and spatial data reduction are already software-driven, but blunder detection and legally certified boundary or engineering conclusions still attach to a licensed human."
4.A.3.b.2.a.5,Develop specifications for computer network operation.,70.8,76.0,34.4,51.2,42.5,augmentable,medium,2,3,"Network design specification is well-covered by documented patterns and vendor tooling that models reproduce fluently, but capacity, security and continuity risk keep an accountable architect in the loop."
4.A.3.b.6.o.2,Prepare reports detailing student activities or performance.,70.8,72.5,30.9,42.5,32.5,augmentable,medium,1,1,"Grade and attendance data already auto-populate report cards, but the qualitative narrative rests on a teacher's direct observation of a child and is read by parents as a professional judgment."
4.A.2.a.1.j.2,Analyze data to determine project feasibility.,70.6,80.0,38.8,60.0,42.5,augmentable,medium,3,4,"The modelling and sensitivity analysis are automatable, but the assumptions driving a feasibility verdict are contestable and carry investment consequences someone must stand behind."
4.A.2.a.4.a.5,Analyze geological or geographical data.,70.6,70.0,28.8,40.0,25.0,augmentable,medium,9,17,"Subsurface and spatial datasets are ambiguous and underdetermined, so models accelerate processing and hypothesis generation while the binding constraint remains expert reconciliation of conflicting geological interpretations."
4.A.1.a.1.r.3,Conduct research on social issues.,70.5,77.5,36.6,31.2,40.0,augmentable,medium,7,9,"Secondary data analysis and literature synthesis are highly exposed, but primary collection from human subjects involves consent, trust and ethics oversight, and causal claims about society remain contested expert judgment."
4.A.1.a.1.t.3,Research design or application of green technologies.,70.5,76.0,35.0,35.0,46.5,augmentable,medium,4,5,"Green-technology assessment is document- and data-heavy and thus well within model reach, but site-specific feasibility and lifecycle assumptions remain contested calls a human must select and defend."
4.A.2.b.2.d.2,Plan menu options.,70.5,70.0,29.1,23.8,35.0,augmentable,medium,1,1,"Menu planning is largely constraint optimisation over cost, seasonality and demand data that software handles well, but final selection depends on tasted quality and local clientele knowledge."
4.A.2.b.2.o.16,Create graphical representations of structures or landscapes.,70.5,62.5,21.5,30.0,12.5,augmentable,medium,5,14,"Rendering engines and diffusion models produce convincing structure and landscape visuals cheaply, but fidelity to the actual designed geometry and site conditions requires a human driving the model."
4.A.4.a.2.a.1,Communicate with the public on environmental issues.,70.5,80.0,39.1,38.8,47.5,augmentable,medium,6,6,"Material preparation and routine inquiry response are highly model-exposed, but public environmental communication is politically contested and often occurs in hearings and site meetings where a credible human must stand behind claims."
4.A.1.a.1.h.3,Conduct climatological research.,70.3,75.0,34.3,41.2,43.5,augmentable,medium,5,9,"The work is almost entirely computational over large archived datasets, so the constraint is not embodiment but the contested design of models and attribution claims that a scientist must defend."
4.A.4.b.6.e.2,Advise others on logistics topics.,70.3,77.5,36.9,41.2,42.5,augmentable,medium,1,1,"Routing, regulatory and carrier-selection questions are highly structured and already served by optimisation software plus model-based guidance; disruption handling and negotiated exceptions keep a human in the loop."
4.A.2.b.2.o.19,Create maps.,70.2,59.0,18.7,28.8,-4.5,augmentable,medium,9,16,"Automated map compilation from geospatial layers is routine, yet decisions about projection, generalisation and what to omit carry interpretive weight a human still owns."
4.A.4.a.6.c.4,"Market products, services, or events.",70.2,75.0,34.7,28.8,35.0,augmentable,medium,1,1,"Content generation, targeting and campaign optimisation are already machine-run in ad platforms, but positioning strategy, brand risk and channel choice still hinge on human market judgement and sign-off."
4.A.4.b.1.c.4,Coordinate with external parties to exchange information.,70.2,72.5,32.2,36.2,35.0,augmentable,medium,2,3,"Routine information exchange is largely message composition and routing, already partly handled by EDI/portals and well suited to LLMs, but deciding what may be disclosed to whom still needs a responsible human."
4.A.2.b.2.b.11,Design healthcare-related software applications.,70.1,81.0,40.8,67.5,60.0,augmentable,medium,1,3,"Same design reasoning as general software but bound by HIPAA, safety-critical validation and device regulation, which require a named human to attest to design controls."
4.A.1.b.1.b.1,Identify opportunities for green initiatives.,70.0,75.0,35.0,32.5,50.0,augmentable,medium,1,2,"Scanning regulations, benchmarks and operational data to propose sustainability options is well within LLM reach, but selecting initiatives depends on organisational context and stakeholder buy-in that a model cannot own."
4.A.2.a.4.j.4,Analyze laboratory findings.,70.0,76.5,36.6,66.2,36.5,augmentable,medium,5,5,"Once findings are digital, correlation and flagging are well within model reach, but clinical or scientific interpretation that drives consequential decisions needs a credentialed signer."
4.A.2.a.4.l.5,Analyze test or performance data to assess equipment operation.,70.0,70.0,29.9,53.8,11.0,augmentable,medium,1,1,Condition-monitoring and predictive-maintenance platforms already flag equipment degradation from sensor streams with little human input; interpretation becomes human only when the recommended action is costly or safety-critical.
4.A.3.b.6.h.5,Maintain operational records.,70.0,60.0,20.0,37.0,3.5,largely_automatable,medium,4,4,"Where operations are already digitally instrumented, record maintenance is a solved software problem; the residual human work is capturing events that never touch a system."
4.A.2.b.2.o.8,Create schematic drawings for electronics.,69.9,66.0,26.2,47.5,26.0,augmentable,medium,6,7,"EDA tools already automate symbol placement, netlist checks and routing, and models can draft circuit topologies from specs, but binding constraint is that correct component selection and manufacturability still require an engineer to verify and sign off before fabrication."
4.A.2.b.2.s.3,Develop methods of social or economic research.,69.9,76.0,36.2,46.2,50.0,augmentable,medium,5,6,"Survey instruments, sampling frames and identification strategies are pure information work that frontier models handle well; the constraint is contested methodological judgment that peers must be able to challenge and a researcher must defend."
4.A.3.b.2.f.15,Develop testing routines or procedures.,69.9,75.0,35.2,53.2,36.0,augmentable,medium,11,18,"Test-case generation from specifications is one of the strongest current LLM applications, but coverage adequacy for safety-relevant systems and physical test rig setup keep a human owner."
4.A.3.b.6.h.21,Maintain operational records or records systems.,69.9,60.0,20.1,37.5,3.5,largely_automatable,medium,17,22,"Modern ERP, MES and logging systems already capture and organize operational records automatically; the binding constraint is data entry at points where events are not yet instrumented and exception handling when entries conflict."
4.A.1.b.1.b.6,Identify opportunities to improve operational efficiency.,69.8,74.0,34.4,32.5,44.0,augmentable,medium,1,1,"Process-mining and analytics tools plus LLM reasoning surface inefficiencies readily, but diagnosing real causes usually requires on-site observation and negotiation with the people doing the work."
4.A.2.a.4.e.4,Analyze green technology design requirements.,69.8,71.5,31.9,43.8,39.0,augmentable,low,3,3,"Standards, incentives and lifecycle data are documentary and machine-readable, but green criteria are contested and rapidly shifting, so defensible interpretation still rests with a human specialist."
4.A.2.b.1.h.1,Estimate technical or resource requirements for development or production projects.,69.8,75.0,35.3,48.8,37.5,augmentable,medium,13,16,"Parametric estimating software plus models can generate resource takeoffs quickly, but the binding constraint is unmodelled project-specific scope uncertainty that an estimator must judge and stand behind in a bid."
4.A.2.b.1.j.10,Select educational materials or equipment.,69.8,70.0,30.3,33.8,37.5,augmentable,medium,20,20,"Content matching to standards and learner level is strongly model-exposed, but adoption decisions carry pedagogical judgment about specific students and are subject to district or parental accountability."
4.A.4.b.6.d.5,Provide technical support for computer network issues.,69.8,76.0,36.3,38.8,31.0,augmentable,medium,6,7,"Automated monitoring and scripted remediation cover routine faults, but the binding constraint is that many network problems terminate in cabling, hardware or on-site device access."
4.A.3.b.1.c.4,Configure computer networks.,69.7,70.0,30.6,50.0,17.5,augmentable,medium,5,7,"Infrastructure-as-code, zero-touch provisioning and SDN controllers already push configurations automatically, but design choices, security posture and change approval still route through a named engineer because a bad push can black out a site."
4.A.3.b.2.f.13,Develop procedures to evaluate organizational activities.,69.7,77.5,38.1,45.8,47.5,augmentable,medium,4,4,"Evaluation frameworks and metrics can be drafted by a model, but choosing what counts as organizational success is politically negotiated and must be owned by management."
4.A.2.a.4.i.1,Appraise environmental impact of regulations or policies.,69.5,77.5,38.4,56.2,55.0,augmentable,medium,4,6,"The evidence base is documentary and highly amenable to model synthesis, but environmental impact appraisal rests on contested causal and valuation assumptions that expert reviewers and statutory processes must adjudicate."
4.A.2.b.2.u.4,Develop theories or models of social phenomena.,69.5,77.5,38.4,44.8,59.0,augmentable,medium,1,1,"Social theorising is pure discursive reasoning and hence maximally LLM-exposed, but contestability of interpretation and the need for scholarly ownership of claims keep a human at the centre."
4.A.2.b.2.o.10,Create diagrams or blueprints for workpieces or products.,69.4,65.0,26.2,46.2,22.5,augmentable,medium,1,1,"CAD automation and model-based definition can generate dimensioned drawings from parametric models, but tolerance decisions and manufacturability sign-off still attach to a drafter or engineer because errors propagate into scrapped parts."
4.A.2.b.4.a.4,Develop organizational methods or procedures.,69.4,76.0,37.2,52.5,51.0,augmentable,medium,3,4,"Procedure and method design is largely document work that LLMs draft competently, but fitting it to tacit local workflow realities and signing off on compliance keeps a human owner."
4.A.4.b.3.e.3,Teach others to use computer equipment or hardware.,69.4,70.0,31.2,20.0,22.5,augmentable,medium,5,5,"Explanatory content and troubleshooting dialogue are well within current models, but showing someone physically how to handle, connect or service hardware still benefits from co-presence."
4.A.4.b.4.j.29,Arrange delivery of goods or services.,69.4,67.5,28.8,32.5,9.0,largely_automatable,medium,3,4,"Logistics and dispatch platforms already book, route and confirm deliveries end-to-end; only exception handling and negotiation with counterparties still pulls in a human."
4.A.1.a.1.d.8,Collect archival data.,69.2,63.5,25.0,22.5,20.0,augmentable,medium,6,7,"Binding constraint is that much archival material is physical, uncatalogued or idiosyncratically stored, requiring on-site handling and provenance judgement before any machine reading can occur."
4.A.2.b.1.h.11,"Determine types of equipment, tools, or materials needed for jobs.",69.2,67.5,29.1,36.2,30.0,augmentable,medium,1,1,"Specifying equipment and materials is codified knowledge work that estimating software and LLMs handle well from specs, but binding constraint is tacit site/job knowledge and the fact that a wrong bill of materials creates real downstream cost, so a qualified human signs off."
4.A.2.b.2.o.15,Draw detailed or technical illustrations.,69.2,60.0,21.5,32.5,16.5,augmentable,medium,1,1,"Generative imaging cannot hold dimensional and part-level precision, so technical illustration still runs through human-driven CAD/vector work; models mainly accelerate layout, callouts and variants."
4.A.2.b.5.a.3,Schedule medical facility use.,69.2,70.0,31.6,51.2,2.5,largely_automatable,medium,1,1,"Room, theatre and equipment booking is a constrained optimisation already handled by deployed hospital scheduling systems; the residual human role is exception handling when clinical urgency overrides the algorithm."
4.A.1.b.3.b.6,Estimate costs for projects or productions.,69.1,72.5,34.4,52.5,39.5,augmentable,medium,1,1,"Digital takeoff and parametric estimating tools automate the quantity and unit-rate mechanics, but scope interpretation from incomplete drawings or scripts, and ownership of the committed number, stay human."
4.A.2.b.2.c.3,Develop marketing plans or strategies.,69.1,77.5,39.4,40.0,47.5,augmentable,medium,2,2,"Models draft credible strategy from data, but committing budget requires reading internal politics and betting on contested assumptions about competitor and consumer response."
4.A.4.a.2.c.20,Exchange information with colleagues.,69.1,67.5,29.4,25.0,27.5,augmentable,low,1,1,Bidirectional exchange presupposes two informed participants with context and stake; automation handles the transmission and summarisation layer only.
4.A.4.b.6.a.2,Advise patients on preventive care techniques.,69.1,80.0,41.9,52.5,45.0,augmentable,medium,3,3,Preventive-care content is protocolised and well within model capability; the constraint is licensure for patient-facing counselling and the behaviour-change relationship that drives adherence.
4.A.3.b.2.f.9,Develop computer or information security policies or procedures.,69.0,79.0,41.1,68.8,54.0,augmentable,high,10,10,"Mapping controls to frameworks and drafting policy language is near-ideal LLM work, but an accountable officer must ratify risk acceptance and attest to compliance for audit and liability purposes."
4.A.4.a.2.e.2,Collaborate with others to develop or implement marketing strategies.,69.0,80.0,41.9,34.2,55.0,augmentable,medium,4,4,"Strategy generation, segmentation analysis and campaign drafting are squarely in model territory; the binding constraint is that stakeholder buy-in and internal negotiation over resources happen between people."
4.A.1.a.1.i.3,Conduct scientific research of organizational behavior or processes.,68.9,76.0,38.1,35.0,51.0,augmentable,medium,3,6,"Design, analysis and write-up are heavily machine-assisted, but human-subject data collection and research-ethics responsibility keep a named investigator in the loop."
4.A.2.a.2.a.3,Verify customer credit information.,68.8,60.0,22.5,50.0,-24.0,largely_automatable,high,1,1,Credit bureau APIs and automated decisioning engines already perform this end-to-end at scale; remaining human involvement is mostly exception handling and regulatory adverse-action justification.
4.A.2.b.2.l.9,Develop educational or training programs.,68.8,74.0,36.3,43.8,50.0,augmentable,medium,1,1,"Needs analysis and content build-out are highly text-based and already tooled, yet stakeholder alignment on what the training must achieve and compliance sign-off keep a human in the lead."
4.A.4.a.6.c.12,"Promote products, services, or programs.",68.8,72.5,35.0,30.0,35.0,augmentable,medium,2,2,Promotional content production and distribution are highly LLM-exposed; the residual human work is relationship-based outreach and reputational risk ownership.
4.A.4.b.6.d.4,Advise others on the development or use of new technologies.,68.8,78.5,40.9,40.0,52.0,augmentable,medium,5,6,"Advising on emerging technology means forecasting under genuine uncertainty and convincing decision-makers to commit resources, so the model supplies synthesis while a human owns the bet."
4.A.2.a.1.g.2,Evaluate new technologies or methods.,68.7,75.0,37.7,43.8,50.0,augmentable,medium,7,7,"Literature synthesis and comparative appraisal are core model strengths, but credible evaluation usually requires hands-on trialling and contextual fit judgment."
4.A.2.a.1.g.4,Evaluate the characteristics of green technologies.,68.6,72.5,35.3,41.2,50.0,augmentable,medium,2,2,"Most of the work is synthesising specifications, lifecycle data and standards, which a model does well, but credible assessment still depends on field/test data and contested sustainability criteria that a human must select and defend."
4.A.2.a.4.l.3,Interpret design or operational test results.,68.6,75.0,37.8,63.8,33.5,augmentable,medium,7,8,"Models can compute against spec limits and draft interpretations, but deciding whether anomalous results mean a design flaw, a test artifact or an acceptable deviation is contested engineering judgment that must be signed off."
4.A.2.b.2.s.8,Plan social sciences research.,68.5,77.5,40.6,51.8,55.0,augmentable,medium,6,8,"Instrument design, sampling frames and analysis plans are almost purely textual and statistical, so LLM leverage is high; human-subjects ethics review requires a named principal investigator."
4.A.1.a.1.t.5,Research advanced engineering designs or applications.,68.4,75.0,38.2,43.8,48.5,augmentable,medium,7,10,"Advanced design research is analytic and simulation-driven, so models and solvers cover much of it; the constraint is novelty — frontier design questions have no precedent in training data and require verified experimental or computational validation."
4.A.2.b.1.h.7,"Estimate supplies, ingredients, or staff requirements for food preparation activities.",68.4,60.0,23.1,25.0,5.0,augmentable,medium,1,1,"Demand forecasting and par-level software already computes ingredient and labor needs from POS history; the residual human role is correcting for local events, deliveries and on-hand stock that the system cannot observe."
4.A.4.b.6.c.3,Advise others on green energy or related technologies.,68.4,78.0,41.2,42.5,50.5,augmentable,medium,1,1,"Technology comparison, incentive rules and sizing calculations are highly tractable for models; the constraint is site-specific data capture and the fact that a named engineer or consultant typically stands behind a recommendation involving capital expenditure."
4.A.1.b.2.h.2,Test computer system operations to ensure proper functioning.,68.3,60.0,23.4,41.2,-18.5,largely_automatable,high,12,18,"Continuous monitoring, synthetic transactions and automated regression/test pipelines are standard practice; the remaining human role is triaging ambiguous failures and owning production go/no-go calls."
4.A.2.a.4.b.3,"Forecast economic, political, or social trends.",68.3,72.5,35.9,43.8,45.0,augmentable,medium,3,4,"Models can synthesise vast evidence and articulate scenarios, but the activity is irreducibly contested prediction where accuracy is unverifiable in advance and institutions want a named forecaster to defend the call."
4.A.2.b.2.u.1,Develop theories or models of physical phenomena.,68.3,75.0,38.4,46.2,60.0,augmentable,medium,7,10,"Frontier models manipulate formalism and derive consequences competently, but genuinely novel theory construction still depends on human taste about which abstraction is worth pursuing and on empirical confrontation."
4.A.2.a.4.f.3,Analyze test data or images to inform diagnosis or treatment.,68.2,80.0,43.6,87.0,40.0,augmentable,high,37,45,FDA-cleared imaging and lab-interpretation AI is deployed but almost universally as a flagging or triage aid; a radiologist or pathologist must sign the diagnostic report.
4.A.2.b.2.l.8,Develop educational programs.,68.2,73.5,37.1,45.0,50.5,augmentable,medium,7,9,"Curriculum architecture, sequencing and materials are strongly model-assisted, but fitting a program to institutional constraints, accreditation and real learner populations requires a human owner."
4.A.3.b.5.c.2,Maintain computer networks to enhance performance and user access.,68.2,72.5,36.1,48.2,27.5,augmentable,medium,3,7,"Configuration, monitoring, tuning and troubleshooting are software-mediated and highly model-exposed, but change control on production networks keeps a human owning the risk, plus residual cabling work."
4.A.4.b.3.b.10,Tutor students who need extra assistance.,68.1,72.5,36.2,27.5,45.0,augmentable,high,1,1,AI tutors already deliver competent one-to-one explanation and practice; the binding constraint is sustaining motivation and diagnosing affective barriers in struggling learners.
4.A.2.a.4.l.2,"Analyze security of systems, network, or data.",67.9,75.0,39.1,72.5,25.0,augmentable,high,9,10,"Scanners, SIEM correlation and increasingly LLM triage automate detection breadth, but adversarial novelty, false-positive arbitration and risk acceptance decisions keep a named security owner in the loop."
4.A.2.a.1.g.5,Assess product or process usefulness.,67.8,70.0,34.3,38.8,46.5,augmentable,medium,5,5,Usefulness is defined relative to user needs and organisational goals that are elicited from people and weighed subjectively; models can structure and argue the case but cannot own the value judgement.
4.A.4.c.3.e.3,"Purchase materials, equipment, or other resources.",67.7,65.0,29.7,41.2,15.0,augmentable,medium,15,15,"Sourcing, comparison and requisition drafting are highly model-exposed, but committing organisational funds involves supplier negotiation and a delegated signing authority that must rest with a person."
4.A.1.b.3.b.1,Estimate time or monetary resources needed to complete projects.,67.6,72.5,37.4,53.0,43.0,augmentable,high,4,4,"Models can assemble takeoffs, historical analogues and schedules quickly, but the binding constraint is contested assumptions about scope, productivity and risk that a named estimator must own when the bid is committed."
4.A.3.b.6.h.15,Maintain records of customer accounts.,67.6,52.5,17.2,37.5,-22.5,largely_automatable,high,1,1,CRM and billing platforms maintain account records automatically from transactions; exceptions and disputes are the only part needing human handling.
4.A.2.a.3.a.7,"Review environmental permits, plans, or reports.",67.5,75.0,40.0,70.0,46.0,augmentable,medium,5,6,"Permit and report review is document-based and highly assistable, but the determination is a regulatory act that typically requires a licensed or delegated official to sign and defend."
4.A.2.a.1.g.3,"Evaluate potential of products, technologies, or resources.",67.3,73.5,38.9,46.2,49.5,augmentable,medium,2,2,"Forecasting potential rests on contested assumptions about future markets and capabilities where evidence is thin, so models can scaffold the case but cannot settle it."
4.A.1.a.1.b.15,Review details of technical drawings or specifications.,67.2,62.5,28.1,50.0,30.0,augmentable,medium,1,1,"CAD/PDM software already extracts dimensions and tolerances automatically, but multimodal reading of legacy or annotated drawings remains error-prone and misread specifications propagate into costly physical rework."
4.A.1.a.1.j.5,Research environmental impact of industrial or development activities.,67.2,77.5,43.1,57.5,47.5,augmentable,medium,10,23,"Literature synthesis and modelling are strongly LLM-exposed, but original impact research depends on field sampling and defensible methodological choices that a model cannot own."
4.A.2.b.2.b.9,Design video game features or details.,67.2,65.0,30.6,20.0,42.5,augmentable,medium,1,6,"Game feel is validated by iterative playtesting against human taste, an evaluation signal models cannot generate internally even though they ideate and prototype quickly."
4.A.4.a.8.c.1,Respond to customer problems or complaints.,67.2,75.0,40.6,37.5,30.0,augmentable,high,2,2,"Chatbots and automated resolution flows already close a large share of routine complaints; escalation, emotional de-escalation and goodwill concessions still pull in humans."
4.A.2.b.1.j.1,"Select tools, equipment, or technologies for use in operations or projects.",67.0,65.0,30.9,38.8,32.5,augmentable,medium,10,11,Matching specifications to catalogued tool and technology options is well within model capability; procurement authority and fitness-for-purpose liability keep the final selection with a human.
4.A.3.b.2.d.1,Create models of engineering designs or methods.,67.0,65.0,30.9,43.8,32.5,augmentable,medium,13,17,"Building CAD/FEA models and scripting simulations is increasingly tool-assisted; the constraint is choosing abstractions and boundary conditions that make the model valid, which is a judgment call."
4.A.4.b.6.c.2,Advise others regarding green practices or environmental concerns.,67.0,75.0,40.9,38.8,48.5,augmentable,medium,5,11,"The knowledge base on green practices is well-documented text that models handle well, but the binding constraint is that advice must be tailored to a client's specific operations and accepted by them, which requires contextual fact-gathering and persuasion."
4.A.2.b.1.h.5,Determine resource needs.,66.9,65.0,31.2,37.5,35.0,augmentable,low,1,1,"Generic resource determination is analytic and highly model-exposed, but the input assumptions are rarely fully documented and the resulting budget commitment is owned by a human manager; wording is too broad for a confident call."
4.A.2.b.2.a.3,Develop exercise or conditioning programs.,66.9,70.0,36.2,37.5,26.0,augmentable,medium,3,5,Commercial fitness and rehab apps already generate individualised conditioning programs algorithmically; what still requires a human is screening for contraindications and adjusting to observed movement quality.
4.A.4.b.3.d.16,Conduct employee training programs.,66.9,68.5,34.7,31.2,29.5,augmentable,medium,4,6,"Program authoring, scheduling and assessment are already largely software-mediated; the residual human work is live delivery, cohort engagement and adapting to organisational politics."
4.A.4.b.6.e.11,Advise others on ways to improve processes or products.,66.9,75.0,41.1,40.5,47.5,augmentable,medium,1,1,"Improvement ideas can be generated well from data and documentation, but identifying the real bottleneck usually requires observing the process in situ and securing buy-in from the people who must change."
4.A.1.a.1.i.2,Research industrial processes or operations.,66.8,71.5,37.8,36.2,41.5,augmentable,medium,5,5,"Documentation and sensor-log analysis are strongly LLM-exposed, but understanding how a plant actually runs requires floor observation and interviews with operators."
4.A.1.a.1.c.5,Examine records or other types of data to investigate criminal activities.,66.7,75.0,41.6,76.2,37.5,augmentable,medium,2,5,"Transaction-monitoring and link-analysis systems already flag patterns at scale, but investigative conclusions that trigger legal action must be adopted and defended by an accountable investigator."
4.A.1.a.2.j.1,Monitor the security of digital information.,66.7,67.5,34.1,66.2,10.0,augmentable,high,5,5,"SIEM, EDR and anomaly-detection pipelines already automate detection and triage at scale, but adversarial novelty and the consequences of a missed or mishandled breach keep a named analyst in the escalation loop."
4.A.2.a.3.b.4,Evaluate plans or specifications to determine technological or environmental implications.,66.7,75.0,41.6,63.8,51.5,augmentable,medium,6,7,"Reasoning from specifications to downstream technical and environmental consequences is analytic and model-assistable, but it is forecasting under genuine scientific uncertainty where expert engineers legitimately disagree."
4.A.2.b.2.s.1,Devise research or testing protocols.,66.7,74.0,40.7,60.2,51.5,augmentable,medium,15,19,"Protocol writing is structured reasoning over prior literature and standards where models perform well, but the design choices carry validity and safety consequences requiring review boards and a responsible investigator."
4.A.4.b.4.j.5,Coordinate sales campaigns.,66.7,70.0,36.6,33.8,37.5,augmentable,medium,1,1,"Campaign planning, copy and analytics are highly LLM-exposed, but marshalling a sales team and negotiating priorities across stakeholders remains a coordination role held by a person."
4.A.4.b.6.e.9,"Recommend technical design or process changes to improve efficiency, quality, or performance.",66.7,76.5,43.1,52.5,49.0,augmentable,medium,21,28,"Design and efficiency recommendations are analytically tractable, but they depend on situated knowledge of the physical system and an engineer who can be held answerable if the change degrades safety or quality."
4.A.1.a.1.b.9,Review blueprints or specifications to determine work requirements.,66.6,63.5,30.3,51.2,33.5,augmentable,medium,1,1,"BIM-based quantity takeoff automates parts of this, yet interpreting blueprints against field conditions and code compliance still needs a licensed or experienced human whose misreading has structural consequences."
4.A.1.b.3.b.5,Estimate green project costs.,66.6,68.0,34.8,48.0,40.5,augmentable,low,1,1,"Green retrofit and energy project costing depends on thin, fast-moving data on incentives, technology pricing and site-specific conditions, so model output must be re-based by a human with current market knowledge."
4.A.2.b.1.j.11,Select resources needed to accomplish tasks.,66.6,62.5,29.4,32.5,30.0,augmentable,low,1,1,An abstract allocation decision that maps well onto model reasoning and optimization tools; ambiguity of the phrasing and reliance on unlogged local availability limit full automation.
4.A.2.b.5.b.7,Schedule operational activities.,66.6,66.0,32.8,41.2,4.5,largely_automatable,medium,8,10,Operational scheduling is the canonical domain of deployed planning and workforce-management software; human input mainly enters when shifting priorities or staffing disputes break the model's assumptions.
